manufacturer,model,year,gas,km,expenses,last_bid
 FORD,"KA SE 1.0 SD C
      "," 2020/2021
  ", ALC/GAS   ," 550   
  "," R$ 1.750,00","R$ 41.000,00"
 VOLKSWAGEN,"GOL 1.6L MB5
      "," 2020/2021
  ", ALC/GAS   ," 84.800   
  "," R$ 1.750,00","R$ 34.500,00"
 RENAULT,"SANDERO AUTH 10
      "," 2017/2018
  ", ALC/GAS/GNV   ," 149.850   
  "," R$ 1.750,00","R$ 22.000,00"
 HYUNDAI,"HB20 1.0M COMFOR
      "," 2015/2016
  ", ALC/GAS   ," 157.550   
  "," R$ 1.750,00","R$ 27.000,00"
 CHEVROLET,"SPIN 1.8L MT LT
      "," 2016/2016
  ", ALC/GAS   ," 118.400   
  "," R$ 1.750,00","R$ 27.500,00"
 VOLKSWAGEN,"GOL 1.0 CITY
      "," 2013/2014
  ", ALC/GAS   ," 141.350   
  "," R$ 1.750,00","R$ 18.200,00"
 VOLKSWAGEN,"VOYAGE 1.6L AF5
      "," 2018/2019
  ", ALC/GAS/GNV   ," 149.950   
  "," R$ 1.750,00","R$ 28.600,00"
 FIAT,"UNO VIVACE 1.0
      "," 2015/2015
  ", ALC/GAS   ," 95.600   
  "," R$ 1.750,00",
 CHEVROLET,"PRISMA 1.4MT LT
      "," 2019/2019
  ", ALC/GAS/GNV   ," 155.700   
  "," R$ 1.750,00",
 TOYOTA,"COROLLA ALTISFLEX
      "," 2018/2019
  ", ALC/GAS   ," 60.050   
  "," R$ 1.750,00",
 KIA,"SPORTAGE EX2 FFG3
      "," 2016/2017
  ", ALC/GAS/GNV   ," 115.450   
  "," R$ 1.750,00",
 HONDA,"HR-V LX CTV
      "," 2017/2017
  ", ALC/GAS   ," 66.200   
  "," R$ 1.750,00",
 MITSUBISHI,"LANCER 2.0 GT
      "," 2016/2017
  ", GASOLINA   ," 73.250   
  "," R$ 1.750,00","R$ 43.000,00"
